date,so2,no2,rspm,spm,pm2_5,stn_code,sampling_date,state,location,agency,type,location_monitoring_station,date.1,_source_file,_city_norm,city,pm2_5_index,rspm_index,no2_index,so2_index,AQI
1/2/2004,6.733333333,37.5,97.0,233.9,,95,1/2/2004,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",2/1/2004,data.csv,hyderabad,hyderabad,,97.0,46.875,8.41666666625,97.0
1/3/2004,6.333333333,38.26666667,95.6,220.3111111,,95,1/2/2004,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",2/1/2004,data.csv,hyderabad,hyderabad,,95.6,47.8333333375,7.916666666249999,96.0
1/4/2004,5.933333333,39.03333333,94.2,206.7222222,,95,1/2/2004,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",2/1/2004,data.csv,hyderabad,hyderabad,,94.2,48.7916666625,7.41666666625,94.0
1/5/2004,5.533333333,39.8,92.8,193.1333333,,95,1/5/2004,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",5/1/2004,data.csv,hyderabad,hyderabad,,92.8,49.75,6.91666666625,93.0
1/6/2004,5.266666667,38.9,90.35,193.35,,95,1/5/2004,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",5/1/2004,data.csv,hyderabad,hyderabad,,90.35,48.625,6.58333333375,90.0
1/7/2004,5.0,38.0,87.9,193.5666667,,95,1/5/2004,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",5/1/2004,data.csv,hyderabad,hyderabad,,87.9,47.5,6.25,88.0
1/8/2004,4.733333333,37.1,85.45,193.7833333,,95,1/5/2004,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",5/1/2004,data.csv,hyderabad,hyderabad,,85.45,46.375,5.91666666625,85.0
1/9/2004,4.466666667,36.2,83.0,194.0,,95,1/9/2004,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",9/1/2004,data.csv,hyderabad,hyderabad,,83.0,45.25,5.58333333375,83.0
1/10/2004,4.511111111,35.95555556,74.96666667,180.2666667,,95,1/9/2004,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",9/1/2004,data.csv,hyderabad,hyderabad,,74.96666667,44.94444445,5.6388888887499995,75.0
1/11/2004,4.555555556,35.71111111,66.93333333,166.5333333,,95,1/9/2004,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",9/1/2004,data.csv,hyderabad,hyderabad,,66.93333333,44.638888887499995,5.694444445,67.0
